Name,Miles per Gallon,Cylinders,Displacement,Horsepower,Weight,Acceleration,Year,Origin,X+Y,dataid
toyota cressida,25.4,6,168,116,2900,12.6,1982,Japan,1.049412204,354
datsun 810 maxima,24.2,6,146,120,2930,13.8,1982,Japan,1.041052435,355
buick century (1982),22.4,6,231,110,3415,15.8,1982,USA,0.958947565,356
oldsmobile cutlass ls,26.6,8,350,105,3725,19,1982,USA,1.02733719,357
ford granada gl,20.2,6,200,88,3060,17.1,1982,USA,0.816085091,358
chrysler lebaron salon,17.6,6,225,85,3465,16.6,1982,USA,0.747247621,359
chevrolet cavalier,28,4,112,88,2605,19.6,1982,USA,0.983467065,360
chevrolet cavalier wagon,27,4,112,88,2640,18.6,1982,USA,0.962007837,361
chevrolet cavalier 2-door,34,4,112,88,2395,18,1982,USA,1.11222243,362
pontiac j2000 se hatchback,31,4,112,85,2575,16.2,1982,USA,1.034801269,363
dodge aries se,29,4,135,84,2525,16,1982,USA,0.987534988,364
pontiac phoenix (1982),27,4,151,90,2735,18,1982,USA,0.970703489,365
ford fairmont futura,24,4,140,92,2865,16.4,1982,USA,0.915021459,366
volkswagen rabbit l,36,4,105,74,1980,15.3,1982,Europe,1.094271319,367
mazda glc custom l,37,4,91,68,2025,18.2,1982,Japan,1.08964359,368
mazda glc custom,31,4,91,68,1970,17.6,1982,Japan,0.960888225,369
plymouth horizon miser,38,4,105,63,2125,14.7,1982,USA,1.089363687,370
mercury lynx l,36,4,98,70,2125,17.3,1982,USA,1.076880015,371
nissan stanza xe,36,4,120,88,2160,14.5,1982,Japan,1.155140884,372
honda Accelerationord (1982),36,4,107,75,2205,14.5,1982,Japan,1.098619145,373
toyota corolla (1982),34,4,108,70,2245,16.9,1982,Japan,1.03396156,374
honda civic (1982),38,4,91,67,1965,15,1982,Japan,1.106754992,375
honda civic (auto),32,4,91,67,1965,15.7,1982,Japan,0.977999627,376
datsun 310 gx,38,4,91,67,1995,16.2,1982,Japan,1.106754992,377
buick century limited,25,6,181,110,2945,16.4,1982,USA,1.014741556,378
oldsmobile cutlass ciera (diesel),38,6,262,85,3015,17,1982,USA,1.185015861,379
chrysler lebaron medallion,26,4,156,92,2585,14.5,1982,USA,0.957939914,380
ford granada l,22,6,232,112,2835,14.7,1982,USA,0.959059526,381
toyota celica gt,32,4,144,96,2665,13.9,1982,Japan,1.104086583,382
dodge charger 2.2,36,4,135,84,2370,13,1982,USA,1.13774958,383
chevrolet camaro,27,4,151,90,2950,17.3,1982,USA,0.970703489,384
ford mustang gl,27,4,140,86,2790,15.6,1982,USA,0.953312185,385
vw pickup,44,4,97,52,2130,24.6,1982,Europe,1.170292965,386
dodge rampage,32,4,135,84,2295,11.6,1982,USA,1.05191267,387
ford ranger,28,4,120,79,2625,18.6,1982,USA,0.94433663,388
chevy s-10,31,4,119,82,2720,19.4,1982,USA,1.021757791,389
